CustomerKey,GeoAreaKey,StartDT,EndDT,Continent,Gender,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,Birthday,Age,Occupation,Company,Vehicle,Latitude,Longitude
120,6,1983-07-23 00:00:00.000,2033-08-09 00:00:00.000,Australia,male,Mr.,Jamie,H,Hetherington,3 Link Road,Reekara,TAS,Tasmania,7256,AU,Australia,1946-12-11 00:00:00.000,74,Dental laboratory technician,Showbiz Pizza Place,2006 Dodge Durango,-39.77104,144.01979
15,4,1990-09-10 00:00:00.000,2034-07-29 00:00:00.000,Australia,male,Mr.,Julian,A,McGuigan,25 Railway Street,Canning Creek,QLD,Queensland,4357,AU,Australia,1965-03-24 00:00:00.000,55,Border Patrol agent,Cut Rite Lawn Care,2000 Peugeot Kart Up,-27.83169,151.16668
180,7,1987-11-26 00:00:00.000,2026-10-14 00:00:00.000,Australia,male,Mr.,Gabriel,P,Bosanquet,50 Larissa Court,Yelta,VIC,Victoria,3505,AU,Australia,1955-04-24 00:00:00.000,65,Administrative support specialist,Dubrow's Cafeteria,1995 Morgan Plus 4,-34.12744,142.14444
185,2,1990-08-01 00:00:00.000,2029-05-28 00:00:00.000,Australia,female,Mrs.,Gabrielle,B,Castella,74 Old Tenterfield Road,Mallanganee,NSW,New South Wales,2469,AU,Australia,1980-02-23 00:00:00.000,40,Management dietitian,d.e.m.o.,1997 Alpina B6,-29.01286,152.83917
189,7,2008-07-05 00:00:00.000,2017-11-01 00:00:00.000,Australia,female,Ms.,Hayley,C,Jull,61 McKillop Street,Rocky Point,VIC,Victoria,3377,AU,Australia,1960-04-18 00:00:00.000,60,Sculptor,Asian Plan,2006 Alpina B5,-37.33942,142.91237
210,2,1980-09-28 00:00:00.000,2030-05-08 00:00:00.000,Australia,female,Mrs.,Natalie,L,Hilder,63 Davenport Street,Paddys Flat,NSW,New South Wales,2632,AU,Australia,1950-11-23 00:00:00.000,70,Motel desk clerk,Enrich Garden Services,1995 Ford Fairlane,-36.84337,149.05062
225,7,1985-06-25 00:00:00.000,2017-09-25 00:00:00.000,Australia,male,Mr.,Hunter,J,Hutchins,81 Bayley Street,Kinglake,VIC,Victoria,3763,AU,Australia,1978-07-20 00:00:00.000,42,Teletype operator,Mr. Good Buys,2012 Lexus GX,-37.50662,145.44063
23,8,1995-08-11 00:00:00.000,2045-01-26 00:00:00.000,Australia,female,Ms.,Rose,H,Dash,92 Foreshore Road,Guildford,WA,Western Australia,6055,AU,Australia,1990-05-10 00:00:00.000,30,Agricultural and food scientist,Rack N Sack,2005 Volvo XC90,-31.91973,116.04789
243,2,1982-02-07 00:00:00.000,2027-02-09 00:00:00.000,Australia,female,Ms.,Maya,J,Atherton,53 Pipeclay Road,Kindee,NSW,New South Wales,2446,AU,Australia,1954-05-15 00:00:00.000,66,Pilates instructor,Franklin Music,1995 Chevrolet Caprice,-31.36231,152.38703
276,7,2002-03-10 00:00:00.000,2021-02-18 00:00:00.000,Australia,male,Mr.,George,E,Angliss,33 Gaffney Street,Belvedere Park,VIC,Victoria,3198,AU,Australia,1967-11-28 00:00:00.000,53,Office clerk,De Pinna,2002 Rover 25,-38.03048,145.20903
311,7,1989-09-13 00:00:00.000,2026-08-13 00:00:00.000,Australia,female,Mrs.,Milla,H,Niland,33 Garden Place,Teddywaddy,VIC,Victoria,3525,AU,Australia,1955-11-28 00:00:00.000,65,Housekeeper,Multicerv,1992 Lexus LS,-36.25580,143.47982
322,2,1993-09-27 00:00:00.000,2031-06-30 00:00:00.000,Australia,female,Ms.,Alexandra,D,Stephen,61 Hart Street,Green Creek,NSW,New South Wales,2338,AU,Australia,1974-07-11 00:00:00.000,46,Administrative clerk,Almacs,2008 Dodge Grand Caravan,-31.77939,150.97253
36,2,1992-03-12 00:00:00.000,2044-05-14 00:00:00.000,Australia,female,Ms.,Annabelle,J,Townsend,83 Webb Road,Mayfield North,NSW,New South Wales,2304,AU,Australia,1964-07-16 00:00:00.000,56,Special education teacher,id Boutiques,1999 Lancia Lybra,-32.88177,151.70808
385,5,2004-11-22 00:00:00.000,2034-12-17 00:00:00.000,Australia,female,Ms.,Katie,Z,Oberg,11 Holthouse Road,Flaxman Valley,SA,South Australia,5235,AU,Australia,1997-05-27 00:00:00.000,23,Athletic director,Kiddie City,1996 Chevrolet Monte Carlo,-34.80327,139.01425
387,8,1989-06-28 00:00:00.000,2042-10-13 00:00:00.000,Australia,female,Ms.,Tahlia,J,Underwood,85 Point Walter Road,Coolbellup,WA,Western Australia,6163,AU,Australia,1985-10-31 00:00:00.000,35,Patient representative,Team Designers and Associates,2005 Volkswagen Sharan,-32.06760,115.86348
406,5,1994-08-16 00:00:00.000,2042-01-06 00:00:00.000,Australia,male,Mr.,Oliver,S,Corrie,57 Black Point Drive,Cowell,SA,South Australia,5602,AU,Australia,1972-10-21 00:00:00.000,48,Aircraft engineer,Star Merchant Services,2000 Mitsubishi Minica,-33.59691,136.85965
423,7,1991-10-21 00:00:00.000,2045-08-30 00:00:00.000,Australia,female,Mrs.,Tayla,J,De Maistre,32 Marley Point Road,Gormandale,VIC,Victoria,3873,AU,Australia,1975-11-19 00:00:00.000,45,Power dispatcher,Audio Visions,1999 SsangYong W Coupe,-38.26471,146.63390
493,7,2002-12-24 00:00:00.000,2038-10-27 00:00:00.000,Australia,female,Mrs.,Abby,C,Iredale,20 Swanston Street,Bangerang,VIC,Victoria,3393,AU,Australia,1980-11-30 00:00:00.000,40,Material dispatching,S&W Cafeteria,2005 Daihatsu Atrai,-36.26374,142.36489
501,4,2005-11-22 00:00:00.000,2027-03-01 00:00:00.000,Australia,male,Mr.,Elijah,G,England,51 Hay Point Road,Ooralea,QLD,Queensland,4740,AU,Australia,1990-04-13 00:00:00.000,30,Medical geographer,Wheels Discount Auto,1997 Oldsmobile SS,-21.26760,149.07572
505,2,1985-11-05 00:00:00.000,2044-11-06 00:00:00.000,Australia,female,Mrs.,Elizabeth,J,Verge,59 Edgewater Close,Tapitallee,NSW,New South Wales,2540,AU,Australia,1958-06-24 00:00:00.000,62,Veterinary technician,Exact Realty,1992 Chrysler Viper,-34.98379,150.59034
